Vardas              Pavarde             Galutinis(vid.)     Galutinis(Med.)     
Vardas1             Pavarde1            6.13333             6.4                 
Vardas2             Pavarde2            7.09333             7.2                 
Vardas3             Pavarde3            5.58667             5.4                 
Vardas4             Pavarde4            6.45333             6                   
Vardas6             Pavarde6            7.74667             7.8                 
Vardas7             Pavarde7            7.64                7.4                 
Vardas9             Pavarde9            7.72                7.8                 
Vardas10            Pavarde10           7.52                8                   
Vardas11            Pavarde11           5.86667             6                   
Vardas12            Pavarde12           6.69333             6.8                 
Vardas13            Pavarde13           5.62667             5.6                 
Vardas14            Pavarde14           7.04                7.2                 
Vardas16            Pavarde16           7.34667             7.4                 
Vardas18            Pavarde18           5.70667             5.6                 
Vardas21            Pavarde21           6.18667             6.4                 
Vardas22            Pavarde22           5.70667             5.6                 
Vardas23            Pavarde23           8.45333             8.4                 
Vardas25            Pavarde25           7.06667             7.2                 
Vardas27            Pavarde27           5.12                5.6                 
Vardas28            Pavarde28           7.42667             7.4                 
Vardas29            Pavarde29           6.38667             6.6                 
Vardas30            Pavarde30           5.53333             6.2                 
Vardas32            Pavarde32           7.61333             7.8                 
Vardas34            Pavarde34           5.78667             6.4                 
Vardas35            Pavarde35           6.64                6.4                 
Vardas37            Pavarde37           6.52                7                   
Vardas39            Pavarde39           5.84                5.6                 
Vardas40            Pavarde40           5.88                6.2                 
Vardas42            Pavarde42           5.70667             5.6                 
Vardas43            Pavarde43           8.13333             8                   
Vardas44            Pavarde44           5.41333             4.4                 
Vardas46            Pavarde46           6.22667             5.8                 
Vardas47            Pavarde47           5.65333             5.2                 
Vardas48            Pavarde48           5.57333             5.6                 
Vardas50            Pavarde50           7.78667             7.6                 
Vardas51            Pavarde51           7.84                7.6                 
Vardas52            Pavarde52           7.56                7                   
Vardas53            Pavarde53           6.26667             6.4                 
Vardas54            Pavarde54           6.65333             7                   
Vardas55            Pavarde55           6.70667             7                   
Vardas58            Pavarde58           8.21333             7.6                 
Vardas59            Pavarde59           8.24                8.8                 
Vardas61            Pavarde61           6.96                6.8                 
Vardas63            Pavarde63           6.08                6.8                 
Vardas65            Pavarde65           6.56                6.4                 
Vardas66            Pavarde66           5.13333             5                   
Vardas68            Pavarde68           5.58667             5.8                 
Vardas69            Pavarde69           6                   6.4                 
Vardas70            Pavarde70           8.58667             8.8                 
Vardas71            Pavarde71           7.98667             8.2                 
