Vardas              Pavarde             Galutinis(vid.)     Galutinis(Med.)     
Vardas5             Pavarde5            3.90667             3.8                 
Vardas8             Pavarde8            4.05333             4                   
Vardas15            Pavarde15           4.26667             4                   
Vardas17            Pavarde17           3.04                2.8                 
Vardas19            Pavarde19           4.33333             5                   
Vardas20            Pavarde20           2.28                2.2                 
Vardas24            Pavarde24           4.69333             4                   
Vardas26            Pavarde26           4.85333             4.8                 
Vardas31            Pavarde31           4.88                5.2                 
Vardas33            Pavarde33           4.41333             5                   
Vardas36            Pavarde36           4.24                4.4                 
Vardas38            Pavarde38           3.68                4                   
Vardas41            Pavarde41           4.37333             3.6                 
Vardas45            Pavarde45           4.53333             4.4                 
Vardas49            Pavarde49           3.54667             3.6                 
Vardas56            Pavarde56           3.14667             3.2                 
Vardas57            Pavarde57           3.6                 3.6                 
Vardas60            Pavarde60           3.52                3.6                 
Vardas62            Pavarde62           4.49333             4.2                 
Vardas64            Pavarde64           3.48                3.4                 
Vardas67            Pavarde67           4.48                4.4                 
Vardas72            Pavarde72           4.57333             5                   
Vardas73            Pavarde73           3.33333             3.2                 
Vardas75            Pavarde75           3.58667             3.4                 
Vardas79            Pavarde79           2.30667             2.2                 
Vardas80            Pavarde80           4.82667             5.2                 
Vardas83            Pavarde83           2.78667             3                   
Vardas85            Pavarde85           4.69333             4.8                 
Vardas86            Pavarde86           4.53333             4.4                 
Vardas87            Pavarde87           3.57333             3.6                 
Vardas89            Pavarde89           3.38667             3.2                 
Vardas91            Pavarde91           3.09333             2.8                 
Vardas92            Pavarde92           3.12                3.2                 
Vardas95            Pavarde95           2.76                2.6                 
Vardas96            Pavarde96           4.12                3.8                 
Vardas99            Pavarde99           3.16                3.8                 
Vardas100           Pavarde100          4.98667             5.2                 
Vardas102           Pavarde102          4.18667             4.8                 
Vardas105           Pavarde105          3.30667             3.2                 
Vardas107           Pavarde107          3.94667             3.6                 
Vardas108           Pavarde108          4.30667             4.2                 
Vardas109           Pavarde109          3.66667             3.8                 
Vardas112           Pavarde112          3.13333             3.4                 
Vardas117           Pavarde117          3.17333             2.8                 
Vardas119           Pavarde119          4.01333             4.2                 
Vardas123           Pavarde123          3.6                 4                   
Vardas126           Pavarde126          4.77333             4.8                 
Vardas129           Pavarde129          4.26667             4                   
Vardas130           Pavarde130          3.70667             4                   
Vardas132           Pavarde132          2.70667             2.6                 
Vardas133           Pavarde133          3.61333             3.8                 
Vardas134           Pavarde134          4.66667             4.4                 
Vardas137           Pavarde137          4.32                4.4                 
Vardas139           Pavarde139          3.90667             3.8                 
Vardas140           Pavarde140          4.6                 4.2                 
Vardas141           Pavarde141          3.76                4                   
Vardas145           Pavarde145          3.44                4                   
Vardas148           Pavarde148          3.13333             3                   
Vardas150           Pavarde150          4.90667             5.2                 
Vardas154           Pavarde154          3.36                3.6                 
Vardas155           Pavarde155          4.01333             3.8                 
Vardas156           Pavarde156          3.02667             3                   
Vardas158           Pavarde158          4.89333             5                   
Vardas159           Pavarde159          3.28                3.6                 
Vardas160           Pavarde160          3.90667             3.8                 
Vardas164           Pavarde164          4.50667             4.4                 
Vardas168           Pavarde168          4.06667             4.2                 
Vardas169           Pavarde169          2.96                2.8                 
Vardas170           Pavarde170          4.66667             4.4                 
Vardas176           Pavarde176          4.68                4.6                 
Vardas177           Pavarde177          4.89333             4.6                 
Vardas178           Pavarde178          2.70667             3                   
Vardas179           Pavarde179          4.77333             4.8                 
Vardas181           Pavarde181          3.29333             3.4                 
Vardas186           Pavarde186          4.8                 4.8                 
Vardas187           Pavarde187          3.05333             3.4                 
Vardas189           Pavarde189          4.4                 4                   
Vardas190           Pavarde190          2.81333             3                   
Vardas191           Pavarde191          3.38667             3.6                 
Vardas192           Pavarde192          3.33333             3.2                 
Vardas194           Pavarde194          3.68                4                   
Vardas206           Pavarde206          3.38667             3.2                 
Vardas208           Pavarde208          3.81333             4                   
Vardas212           Pavarde212          4.48                4.4                 
Vardas213           Pavarde213          3.01333             2.8                 
Vardas215           Pavarde215          3.17333             2.8                 
Vardas217           Pavarde217          4.97333             5                   
Vardas219           Pavarde219          3.65333             4                   
Vardas220           Pavarde220          3.25333             3.2                 
Vardas223           Pavarde223          2.52                2.6                 
Vardas227           Pavarde227          4.14667             3.8                 
Vardas228           Pavarde228          4.09333             4.2                 
Vardas230           Pavarde230          2.98667             2.8                 
Vardas231           Pavarde231          4.8                 5.6                 
Vardas234           Pavarde234          4.22667             4.6                 
