Vardas         Pavarde             ND1            ND2            ND3            ND4            ND5            ND6            ND7            ND8            ND9            ND10           ND11           ND12           ND13           ND14           ND15           Egz.           
Vardas1        Pavarde1            5              5              1              8              9              8              4              8              9              4              10             7              9              3              5              6              
Vardas2        Pavarde2            1              6              5              2              5              7              4              10             9              3              2              8              8              8              8              8              
Vardas3        Pavarde3            6              9              5              6              3              6              9              7              10             4              9              7              2              4              10             5              
Vardas4        Pavarde4            3              1              2              7              1              10             1              8              9              2              8              1              3              2              4              8              
Vardas5        Pavarde5            3              9              7              9              5              4              6              10             1              10             5              6              2              1              1              3              
Vardas6        Pavarde6            8              5              8              2              10             2              8              7              6              5              2              4              3              10             8              9              
Vardas7        Pavarde7            10             9              3              4              4              9              2              3              6              9              4              5              3              8              5              9              
Vardas8        Pavarde8            6              2              4              7              9              1              5              1              3              2              3              4              6              4              5              4              
Vardas9        Pavarde9            1              10             10             6              10             9              1              9              1              1              5              2              9              7              6              9              
Vardas10       Pavarde10           9              9              6              5              2              8              7              10             1              10             6              9              9              8              3              8              
Vardas11       Pavarde11           5              1              6              2              8              6              8              3              6              8              3              5              9              10             5              6              
Vardas12       Pavarde12           2              4              7              5              7              1              4              1              7              5              5              10             6              2              5              8              
Vardas13       Pavarde13           1              1              5              10             8              10             7              7              4              7              4              3              2              5              2              6              
Vardas14       Pavarde14           10             3              9              3              5              7              1              7              9              6              7              5              1              7              4              8              
Vardas15       Pavarde15           1              5              4              10             4              4              8              2              2              4              3              10             6              2              5              4              
Vardas16       Pavarde16           2              9              3              2              6              2              1              8              3              7              4              10             5              6              5              9              
Vardas17       Pavarde17           1              4              3              5              10             5              3              2              6              7              1              4              8              2              8              2              
Vardas18       Pavarde18           8              3              2              7              5              1              10             1              1              4              10             9              10             5              3              6              
Vardas19       Pavarde19           9              8              9              4              1              10             5              9              7              4              10             1              8              9              1              3              
Vardas20       Pavarde20           4              3              7              6              3              6              7              5              4              1              7              2              1              3              4              1              
